cols,length,name,comment
121,1,MAR_IMP,"Mother’s Marital Status Imputed Blank Marital Status not imputed 1 Marital Status imputed "
122,1,FILLER,"Filler Blank"
123,1,F_MAR_P,"Reporting Flag for Paternity Acknowledged 0 Non-Reporting 1 Reporting"
124,1,MEDUC,"Mother’s Education 1 8th grade or less 2 9th through 12th grade with no diploma 3 High school graduate or GED completed 4 Some college credit, but not a degree.  5 Associate degree (AA,AS) 6 Bachelor’s degree (BA, AB, BS) 7 Master’s degree (MA, MS, MEng, MEd, MSW, MBA) 8 Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD) 9 Unknown"
125,1,FILLER,"Filler Blank"
126,1,F_MEDUC,"Reporting Flag for Education of Mother 0 Non-Reporting 1 Reporting"
127-141,15,FILLER_M,"Filler M Blank"
142,1,FAGERPT_FLG,"Father’s Reported Age Used Blank Father’s reported age not used 1 Father’s reported age used"
143-146,4,FILLER,"Filler Blank"
147-148,2,FAGECOMB,"Father’s Combined Age 09-98 Father’s combined age in years 99 Unknown or not stated"
149-150,2,FAGEREC11,"Father’s Age Recode 11 01 Under 15 years 02 15-19 years 03 20-24 years 04 25-29 years 05 30-34 years 06 35-39 years 07 40-44 years 08 45-49 years 09 50-54 years 10 55-98 years 11 Not stated"
151-152,2,FRACE31,"Father’s Race Recode 31 01 White (only) [only one race reported] 02 Black (only) 03 AIAN (American Indian or Alaskan Native) (only) 04 Asian (only) 05 NHOPI (Native Hawaiian or Other Pacific Islander) (only) 06 Black and White 07 Black and AIAN 08 Black and Asian 09 Black and NHOPI 10 AIAN and White 11 AIAN and Asian 12 AIAN and NHOPI 13 Asian and White 14 Asian and NHOPI 15 NHOPI and White 16 Black, AIAN, and White 17 Black, AIAN, and Asian 18 Black, AIAN, and NHOPI 19 Black, Asian, and White 20 Black, Asian, and NHOPI 21 Black, NHOPI, and White 22 AIAN, Asian, and White 23 AIAN, NHOPI, and White 24 AIAN, Asian, and NHOPI 25 Asian, NHOPI, and White 26 Black, AIAN, Asian, and White 27 Black, AIAN, Asian, and NHOPI 28 Black, AIAN, NHOPI, and White 29 Black, Asian, NHOPI, and White 30 AIAN, Asian, NHOPI, and White 31 Black, AIAN, Asian, NHOPI, and White 99 Unknown or Not Stated"
153,1,FRACE6,"Father’s Race Recode 6 1 White (only) 2 Black (only) 3 AIAN (only) 4 Asian (only) 5 NHOPI (only) 6 More than one race 9 Unknown or Not Stated"
154-155,2,FRACE15,"Father’s Race Recode 15 01 White (only) 02 Black (only) 03 AIAN (only) 04 Asian Indian (only) 05 Chinese (only) 06 Filipino (only) 07 Japanese (only) 08 Korean (only) 09 Vietnamese (only) 10 Other Asian (only) 11 Hawaiian (only) 12 Guamanian (only) 13 Samoan (only) 14 Other Pacific Islander (only) 15 More than one race 99 Unknown or Not Stated"
156-158,3,FILLER,"Filler"
159,1,FHISPX,"Father’s Hispanic Origin 0 1 Non-Hispanic Mexican 2 Puerto Rican 3 Cuban 4 Central or South American 5 Dominican 6 Other and Unknown Hispanic 9 Origin unknown or not stated"
160,1,FHISP_R,"Father’s Hispanic Origin Recode 0 Non-Hispanic 1 Mexican 2 Puerto Rican 3 Cuban 4 Central and South American 5 Other and Unknown Hispanic origin 9 Hispanic origin not stated"
161,1,F_FHISP,"Reporting Flag for Father’s Origin 0 1 Non-Reporting Reporting"
162,1,FRACEHISP,"Father’s Race/Hispanic Origin Based on single/multiple-race (fields 151-152, 153, and 1 2 Non-Hispanic White (only) Non-Hispanic Black (only) 154-155).  3 Non-Hispanic AIAN (only) 4 Non-Hispanic Asian (only) 5 Non-Hispanic NHOPI (only) 6 Non-Hispanic more than one race 7 Hispanic 8 Origin unknown or not stated 9 Race unknown or not stated (Non-Hispanic)"
163,1,FEDUC,"Father’s Education 1 8th grade or less Use reporting flag in field 165 2 9th through 12th grade with no diploma 3 High school graduate or GED completed 4 Some college credit, but not a degree.  5 Associate degree (AA,AS) 6 Bachelor’s degree (BA, AB, BS) 7 Master’s degree (MA, MS, MEng, MEd, MSW, MBA) 8 Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD) 9 Unknown"
164,1,FILLER,"Filler Blank"
165,1,f_FEDUC,"Reporting Flag for Education of Father 0 Non-Reporting 1 Reporting"
166-170,5,FILLER_F,"Filler Blank"
171-172,2,PRIORLIVE,"Prior Births Now Living 00-30 Number of children still living from previous live births.  99 Unknown or not stated"
173-174,2,PRIORDEAD,"Prior Births Now Dead 00-30 Number of children dead from previous live births.  99 Unknown or not stated"
175-176,2,PRIORTERM,"Prior Other Terminations 00-30 Number other terminations 99 Unknown or not stated"
177-178,2,FILLER,"Filler Blank"
179,1,LBO_REC,"Live Birth Order Recode 1-7 Number of live birth order.  8 8 or more live births 9 Unknown or not stated"
180-181,2,FILLER,"Filler Blank"
182,1,TBO_REC,"Total Birth Order Recode 1-7 Number of total birth order.  8 8 or more total births 9 Unknown or not stated"
183-197,15,FILLER,"Filler Blank"
198-200,3,ILLB_R,"Interval Since Last Live Birth Recode 000-003 Plural delivery Use reporting flag in field 126 004-300 Months since last live birth 888 Not applicable / 1st live birth 999 Unknown or not stated"
201-202,2,ILLB_R11,"Interval Since Last Live Birth Recode 11 00 Zero to 3 months (plural delivery) Use reporting flag in field 126 01 4 to 11 months 02 12 to 17 months 03 18 to 23 months 04 24 to 35 months 05 36 to 47 months 06 48 to 59 months 07 60 to 71 months 08 72 months and over 88 Not applicable (1st live birth) 99 Unknown or not stated"
203-205,3,FILLER,"Filler Blank"
206-208,3,ILOP_R,"Interval Since Last Other Pregnancy Recode Use reporting flag in field 126 000-003 Plural delivery 004-300 Months since last live birth 888 Not applicable / 1st natality event 999 Unknown or not stated"
209-210,2,ILOP_R11,"Interval Since Last Other Pregnancy Recode 11 Use reporting flag in field 126 00 01 Zero to 3 months (plural delivery) 4 to 11 months 02 12 to 17 months 03 18 to 23 months 04 24 to 35 months 05 36 to 47 months 06 48 to 59 months 07 60 to 71 months 08 72 months and over 88 Not applicable (1st natality event) 99 Unknown or not stated"
211-213,3,FILLER,"Filler Blank"
214-216,3,ILP_R,"Interval Since Last Pregnancy Recode 000-003 Plural delivery Use reporting flag in field 126 004-300 Months since last live birth 888 Not applicable / no previous pregnancy 999 Unknown or not stated"
217-218,2,ILP_R11,"Interval Since Last Pregnancy Recode 11 Use reporting flag in field 126 00 01 Zero to 3 months (plural delivery) 4 to 11 months 00 12 to 17 months 01 18 to 23 months 02 24 to 35 months 03 36 to 47 months 04 48 to 59 months 05 60 to 71 months 06 72 months and over 88 Not applicable (no previous pregnancy) 99 Unknown or not stated"
219-223,5,FILLER_P,"Blank"
224-225,2,PRECARE,"Month Prenatal Care Began 00 No prenatal care 01-10 Month prenatal care began 99 Unknown or not stated"
226,1,F_MPCB,"Reporting Flag for Month Prenatal Care Began 0 Non-Reporting 1 Reporting"
227,1,PRECARE5,"Month Prenatal Care Began Recode 1 1st to 3rd month 2 4th to 6th month 3 7th to final month 4 No prenatal care 5 Unknown or not stated"
228-237,10,FILLER,"Filler Blank"
238-239,2,PREVIS,"Number of Prenatal Visits 00-98 Number of prenatal visits 99 Unknown or not stated"
240-241,2,FILLER,"Filler Blank"
242-243,2,PREVIS_REC,"Number of Prenatal Visits Recode 01 No visits 02 1 to 2 visits 03 3 to 4 visits 04 5 to 6 visits 05 7 to 8 visits 06 9 to 10 visits 07 11 to 12 visits 08 13 to 14 visits 09 15 to 16 visits 10 17 to 18 visits 11 19 or more visits 12 Unknown or not stated"
244,1,F_TPCV,"Reporting Flag for Total Prenatal Care Visits 0 Non-Reporting 1 Reporting"
245-250,6,FILLER,"Filler Blank"
251,1,WIC,"WIC Y N U Yes No Unknown or not stated"
252,1,F_WIC,"Reporting Flag for WIC 0 1 Non-Reporting Reporting"
253-254,2,CIG_0,"Cigarettes Before Pregnancy 00-97 98 99 Number of cigarettes daily 98 or more cigarettes daily Unknown or not stated"
255-256,2,CIG_1,"Cigarettes 1st Trimester 00-97 98 99 Number of cigarettes daily 98 or more cigarettes daily Unknown or not stated"
257-258,2,CIG_2,"Cigarettes 2nd Trimester 00-97 98 99 Number of cigarettes daily 98 or more cigarettes daily Unknown or not stated"
259-260,2,CIG_3,"Cigarettes 3rd Trimester 00-97 98 99 Number of cigarettes daily 98 or more cigarettes daily Unknown or not stated"
261,1,CIG0_R,"Cigarettes Before Pregnancy Recode 0 1 2 3 4 5 6 Nonsmoker 1-5 6-10 11-20 21-40 41 or more Unknown or not stated"
262,1,CIG1_R,"Cigarettes 1st Trimester Recode 0 1 2 3 4 5 6 Nonsmoker 1-5 6-10 11-20 21-40 41 or more Unknown or not stated"
263,1,CIG2_R,"Cigarettes 2nd Trimester Recode 0 1 Nonsmoker 1-5 2 6-10 3 11-20 4 21-40 5 41 or more 6 Unknown or not stated"
264,1,CIG3_R,"Cigarettes 3rd Trimester Recode 0 Nonsmoker 1 1-5 2 6-10 3 11-20 4 21-40 5 41 or more 6 Unknown or not stated"
265,1,F_CIGS_0,"Reporting Flag for Cigarettes before Pregnancy 0 Non-Reporting 1 Reporting"
266,1,F_CIGS_1,"Reporting Flag for Cigarettes 1st Trimester 0 Non-Reporting 1 Reporting"
267,1,F_CIGS_2,"Reporting Flag for Cigarettes 2nd Trimester 0 Non-Reporting 1 Reporting"
268,1,F_CIGS_3,"Reporting Flag for Cigarettes 3rd Trimester 0 Non-Reporting 1 Reporting"
269,1,CIG_REC,"Cigarette Recode Y Yes N No U Unknown or not stated"
270,1,F_TOBACO,"Reporting Flag for Tobacco use 0 Non-Reporting 1 Reporting"
271-279,9,FILLER_R,"Filler Blank"
280-281,2,M_Ht_In,"Mother’s Height in Total Inches 30-78 Height in inches 99 Unknown or not stated"
282,1,F_M_HT,"Reporting Flag for Mother’s Height 0 Non-Reporting 1 Reporting"
283-286,4,BMI,"Body Mass Index 13.0-69.9 Body Mass Index Use reporting flag in field 282 99.9 Unknown or not stated"
287,1,BMI_R,"Body Mass Index Recode Use reporting flag in field 282 1 2 Underweight <18.5 Normal 18.5-24.9 3 Overweight 25.0-29.9 4 Obesity I 35.0-34.9 5 Obesity II 35.0-39.9 6 Extreme Obesity III ≥ 40.0 9 Unknown or not stated"
288-291,4,FILLER,"Filler Blank"
292-294,3,PWgt_R,"Pre-pregnancy Weight Recode 075-375 Weight in pounds 999 Unknown or not stated"
295,1,F_PWGT,"Reporting Flag for Pre-pregnancy Weight 0 1 Non-Reporting Reporting"
296-298,3,FILLER,"Filler Blank"
299-301,3,DWgt_R,"Delivery Weight Recode 100-400 Weight in pounds 999 Unknown or not stated"
302,1,FILLER,"Filler Blank"
303,1,F_DWGT,"Reporting Flag for Delivery Weight 0 Non-Reporting 1 Reporting"
304-305,2,WTGAIN,"Weight Gain 00-97 98 Weight gain in pounds 98 pounds and over 99 Unknown or not stated"
306,1,WTGAIN_REC,"Weight Gain Recode 1 2 Less than 11 pounds 11 to 20 pounds 3 21 to 30 pounds 4 31 to 40 pounds 5 41 to 98 pounds 9 Unknown or not stated"
307,1,F_WTGAIN,"Reporting Flag for Weight Gain 0 1 Non-Reporting Reporting"
308-312,5,FILLER_W,"Filler Blank"
313-342,30,Risk,"Factors 313 1 RF_PDIAB Pre-pregnancy Diabetes Y N U Yes No Unknown or not stated 314 1 RF_GDIAB Gestational Diabetes Y N U Yes No Unknown or not stated 315 1 RF_PHYPE Pre-pregnancy Hypertension Y N U Yes No Unknown or not stated 316 1 RF_GHYPE Gestational Hypertension Y N U Yes No Unknown or not stated 317 1 RF_EHYPE Hypertension Eclampsia Y N U Yes No Unknown or not stated 318 1 RF_PPTERM Previous Preterm Birth Y N U Yes No Unknown or not stated 319 1 F_RF_PDIAB Reporting Flag for Pre-pregnancy Diabetes 0 1 Non-Reporting Reporting 320 1 F_RF_GDIAB Reporting Flag for Gestational Diabetes 0 1 Non-Reporting Reporting 321 1 F_RF_PHYPER Reporting Flag for Pre-pregnancy Hypertension 0 1 Non-Reporting Reporting 322 1 F_RF_GHYPER Reporting Flag for Gestational Hypertension 0 1 Non-Reporting Reporting 323 1 F_RF_ECLAMP Reporting Flag for Hypertension Eclampsia 0 1 Non-Reporting Reporting 324 1 F_RF_PPB Reporting Flag for Previous Preterm Birth 0 1 Non-Reporting Reporting 325 1 RF_INFTR Infertility Treatment Used Y N Yes 326 1 RF_FEDRG Fertility Enhancing Drugs Y N Yes No X Not applicable U Unknown or not stated 327 1 RF_ARTEC Asst. Reproductive Technology Y Yes N No X Not applicable U Unknown or not stated 328 1 f_RF_INFT Reporting Flag for Infertility Treatment 0 1 Non-Reporting Reporting 329 1 F_RF_INF_DRG Reporting Flag for Fertility Enhance Drugs 0 Non-Reporting 1 Reporting 330 1 F_RF_INF_ART Reporting Flag for Reproductive Technology 0 1 Non-Reporting Reporting 331 1 RF_CESAR Previous Cesarean Y Yes N No U Unknown or not stated 332-333 2 RF_CESARN Number of Previous Cesareans 00 None 01-30 Number of previous cesareans 99 Unknown or not stated 334 1 FILLER Filler Blank 335 1 F_RF_CESAR Reporting Flag for Previous Cesarean 0 1 Non-Reporting Reporting 336 1 F_RF_NCESAR Reporting Flag for Number of Previous Cesareans 0 1 Non-Reporting Reporting 337 1 NO_RISKS No Risk Factors Reported 1 0 True False 9 Not Reported 338-342 5 FILLER_RF Filler Blank"
343-358,15,Infections,"Present 343 1 IP_GON Gonorrhea Y N U Yes No Unknown or not stated 344 1 IP_SYPH Syphilis Y N U Yes No Unknown or not stated 345 1 IP_CHLAM Chlamydia Y N U Yes No Unknown or not stated 346 1 IP_HEPB Hepatitis B Y N U Yes No Unknown or not stated 347 1 IP_HEPC Hepatitis C Y N U Yes No Unknown or not stated 348 1 F_IP_GONOR Reporting Flag for Gonorrhea 0 1 Non-Reporting Reporting 349 1 F_IP_SYPH Reporting Flag for Syphilis 0 1 Non-Reporting Reporting 350 1 F_IP_CHLAM Reporting Flag for Chlamydia 0 1 Non-Reporting Reporting 351 1 F_IP_HEPATB Reporting Flag for Hepatitis B 0 1 Non-Reporting Reporting 352 1 F_IP_HEPATC Reporting Flag for Hepatitis C 0 1 Non-Reporting Reporting 353 1 NO_INFEC No Infections Reported 1 0 9 True False Not Reported 354-358 5 FILLER_IP Filler_IP Blank"
359-382,12,Obstetric,"Procedures 359 1 FILLER Filler Blank 360 1 OB_ECVS Successful External Cephalic Version Y Yes N No U Unknown or not stated 361 1 OB_ECVF Failed External Cephalic Version Y Yes N No U Unknown or not stated 362 1 FILLER Filler Blank 363 1 F_OB_SUCC Reporting Flag for Successful External Cephalic Version 0 Non-Reporting 1 Reporting 364 1 F_OB_FAIL Reporting Flag for Failed External Cephalic Version 0 Non-Reporting 1 Reporting 365-382 17 FILLER_OB Filler_OB Blank"
383-400,18,Characteristics,"of Labor and Delivery 383 1 LD_INDL Induction of Labor Y Yes N No U Unknown or not stated 384 1 LD_AUGM Augmentation of Labor Y Yes N No U Unknown or not stated 385 1 LD_STER Steroids Y Yes N No U Unknown or not stated 386 1 LD_ANTB Antibiotics Y Yes N No U Unknown or not stated 387 1 LD_CHOR Chorioamnionitis Y Yes N No U Unknown or not stated 388 1 LD_ANES Anesthesia Y Yes N No U Unknown or not stated 389 1 F_LD_INDL Reporting Flag for Induction of Labor 0 Non-Reporting 1 Reporting 390 1 F_LD_AUGM Reporting Flag for Augmentation of Labor 0 Non-Reporting 1 Reporting 391 1 F_LD_STER Reporting Flag for Steroids 0 Non-Reporting 1 Reporting 392 1 F_LD_ANTB Reporting Flag for Antibiotics 0 Non-Reporting 1 Reporting 393 1 F_LD_CHOR Reporting Flag for Chorioamnionitis 0 Non-Reporting 1 Reporting 394 1 F_LD_ANES Reporting Flag for Anesthesia 0 Non-Reporting 1 Reporting 395 1 NO_LBRDLV No Characteristics of Labor Reported 1 True 0 False 9 Not Reported 396-400 5 FILLER_LD Filler Blank"
401-414,14,Method,"of Delivery 401 1 ME_PRES Fetal Presentation at Delivery 1 Cephalic 2 Breech 3 Other 9 Unknown or not stated 402 1 ME_ROUT Final Route & Method of Delivery 1 Spontaneous 2 Forceps 3 Vacuum 4 Cesarean 9 Unknown or not stated 403 1 ME_TRIAL Trial of Labor Attempted (if cesarean) Y Yes N No X Not applicable 404 1 F_ME_PRES Reporting Flag for Fetal Presentation 0 Non-Reporting 1 Reporting 405 1 F_ME_ROUT Reporting Flag for Final Route and Method of Deliver 0 Non-Reporting 1 Reporting 406 1 F_ME_TRIAL Reporting Flag for Trial of Labor Attempted 0 Non-Reporting 1 Reporting 407 1 RDMETH_REC Delivery Method Recode 1 Vaginal (excludes vaginal after previous C-section) 2 Vaginal after previous c-section 3 Primary C-section 4 Repeat C-section 5 Vaginal (unknown if previous c-section) 6 C-section (unknown if previous c-section) 9 Not stated 408 1 DMETH_REC Delivery Method Recode 1 Vaginal 2 C-Section 9 Unknown 409 1 F_DMETH_REC Reporting Flag for Method of Delivery Recode 0 Non-Reporting 1 Reporting 410-414 5 FILLER_ME Filler Blank"
415-432,18,Maternal,"Morbidity 415 1 MM_MTR Maternal Transfusion Y Yes N No U Unknown or not stated 416 1 MM_PLAC Perineal Laceration Y Yes N No U Unknown or not stated 417 1 MM_RUPT Ruptured Uterus Y Yes N No U Unknown or not stated 418 1 MM_UHYST Unplanned Hysterectomy Y Yes N No 419 1 MM_AICU Admit to Intensive Care Y Yes N No U Unknown or not stated 420 1 FILLER Filler Blank 421 1 F_MM_MTR Reporting Flag for Maternal Transfusion 0 Non-Reporting 1 Reporting 422 1 F_MM_ PLAC Reporting Flag for Perineal Laceration 0 Non-Reporting 1 Reporting 423 1 F_MM_RUPT Reporting Flag for Ruptured Uterus 0 Non-Reporting 1 Reporting 424 1 F_MM_UHYST Reporting Flag for Unplanned Hysterectomy 0 Non-Reporting 1 Reporting 425 1 F_MM_AICU Reporting Flag for Admission to Intensive Care 0 Non-Reporting 1 Reporting 426 1 FILLER Filler Blank 427 1 NO_MMORB No Maternal Morbidity Reported 1 True 0 False 9 Not Reported 428-432 5 FILLER_MM Filler Blank"
433,1,ATTEND,"Attendant at Birth 1 Doctor of Medicine (MD) 2 Doctor of Osteopathy (DO) 3 Certified Nurse Midwife (CNM) 4 Other Midwife 5 Other 9 Unknown or not stated"
434,1,MTRAN,"Mother Transferred Y Yes Use reporting flag in field 126 N No U Unknown"
435,1,PAY,"Payment Source for Delivery 1 Medicaid 2 Private Insurance Position Length Field Description Values Definition 3 Self-Pay 4 Indian Health Service 5 CHAMPUS/TRICARE 6 Other Government (Federal, State, Local) 8 Other 9 Unknown"
436,1,PAY_REC,"Payment Recode 1 Medicaid 2 Private Insurance 3 Self Pay 4 Other 9 Unknown"
437,1,F_PAY,"Reporting Flag for Source of Payment 0 Non-Reporting 1 Reporting"
438,1,F_PAY_REC,"Reporting Flag for Payment Recode 0 Non-Reporting 1 Reporting"
439-443,5,FILLER_A,"Filler Blank"
444-445,2,APGAR5,"Five Minute APGAR Score 00-10 A score of 0-10 99 Unknown or not stated"
446,1,APGAR5R,"Five Minute APGAR Recode 1 A score of 0-3 2 A score of 4-6 3 A score of 7-8 4 A score of 9-10 5 Unknown or not stated"
447,1,F_APGAR5,"Reporting Flag for Five minute APGAR 0 Non-Reporting 1 Reporting"
448-449,2,APGAR10,"Ten Minute APGAR Score 00-10 A score of 0-10 Use reporting flag in field 126 88 Not applicable 99 Unknown or not stated"
450,1,APGAR10R,"Ten Minute APGAR Recode 1 A score of 0-3 Use reporting flag in field 126 2 A score of 4-6 3 A score of 7-8 4 A score of 9-10 5 Not stated/not applicable"
451-453,3,FILLER,"Filler Blank"
454,1,DPLURAL,"Plurality Recode 1 Single 2 Twin 3 Triplet 4 Quadruplet 5 Quintuplet or higher"
455,1,FILLER,"Filler Blank"
456,1,IMP_PLUR,"Plurality Imputed Blank Plurality is not imputed 1 Plurality is imputed"
457-458,2,FILLER,"Filler Blank 1st"
459,1,SETORDER_R,"Set Order Recode 1 2ndUse reporting flag in field 126 2 3rd 3 4th 4 5 5th to 16th 9 Unknown or not stated"
460-474,15,FILLER,"Filler Blank"
475,1,SEX,"Sex of Infant M Male F Female"
476,1,IMP_SEX,"Imputed Sex Blank Infant Sex not Imputed 1 Infant Sex is Imputed"
477-478,2,DLMP_MM,"Last Normal Menses Month 01 January 02 February 03 March 04 April 05 May 06 June 07 July 08 August 09 September 10 October 11 November 12 December 99 Unknown or not stated"
479-480,2,FILLER,"Filler Blank"
481-484,4,DLMP_YY,"Last Normal Menses Year nnnn Year of last normal menses 9999 Unknown or not stated"
485-487,3,FILLER,"Filler Blank"
488,1,COMPGST_IMP,"Combined Gestation Imputation Flag Blank 1 Combined Gestation is not imputed Combined Gestation is imputed"
489,1,OBGEST_FLG,"Obstetric Estimate of Gestation Used Flag Blank 1 Obstetric Estimate is not used Obstetric Estimate is used"
490-491,2,COMBGEST,"Combined Gestation – Detail in Weeks 17-47 17th through 47th week of Gestation 99 Unknown"
492-493,2,GESTREC10,"Combined Gestation Recode 10 01 Under 20 weeks 02 20-27 weeks 03 28-31 weeks 04 32-33 weeks 05 34-36 weeks 06 37-38 weeks 07 39 weeks 08 40 weeks 09 41 weeks 10 42 weeks and over 99 Unknown"
494,1,GESTREC3,"Combined Gestation Recode 3 1 Under 37 weeks 2 37 weeks and over 3 Not stated"
495-497,3,FILLER,"Filler Blank"
498,1,LMPUSED,"Combined Gestation Used Flag Blank 1 Combined gestation not used Combined gestation used"
499-500,2,OEGest_Comb,"Obstetric Estimate Edited 17-47 Weeks of gestation (NCHS standard item) 99 Not stated"
501-502,2,OEGest_R10,"Obstetric Estimate Recode10 01 Under 20 weeks (NCHS standard item) 02 20-27 weeks 03 28-31 weeks 04 32-33 weeks 05 34-36 weeks 06 37-38 weeks 07 39 weeks 08 40 weeks 09 41 weeks 10 42 weeks and over 99 Unknown"
503,1,OEGest_R3,"Obstetric Estimate Recode 3 1 Under 37 weeks (NCHS Standard Item) 2 37 weeks and over 3 Not stated"
504-507,4,DBWT,"Birth Weight – Detail in Grams (Edited) 0227-8165 Number of grams 9999 Not stated birth weight"
508,1,FILLER,"Filler Blank"
509-510,2,BWTR12,"Birth Weight Recode 12 01 02 0227 -0499 grams 0500 – 0999 grams 03 1000 -1499 grams 04 1500 – 1999 grams 05 2000 – 2499 grams 06 2500 – 2999 grams 07 3000 – 3499 grams 08 3500 – 3999 grams 09 4000 – 4499 grams 10 4500 – 4999 grams 11 5000 – 8165 grams 12 Not Stated"
511,1,BWTR4,"Birth Weight Recode 4 1 2 0227 -1499 grams 1500 – 2499 grams 3 2500 -8165 grams 4 Unknown or not stated"
512-516,5,FILLER_G,"Filler Blank"
